Class,"Normal","Suspeito"
ACC,0.99787,0.99787
AGF,0.99844,0.9973
AGM,0.99756,0.99819
AM,13,-13
AUC,0.99788,0.99788
AUCI,Excellent,Excellent
AUPR,0.99786,0.99788
BCD,0.00048,0.00048
BM,0.99575,0.99575
CEN,0.02078,0.02062
DOR,275070.49405,275070.49405
DP,2.99892,2.99892
DPI,Fair,Fair
ERR,0.00213,0.00213
F0.5,0.99729,0.99845
F1,0.99786,0.99788
F2,0.99844,0.99731
FDR,0.00309,0.00117
FN,8,21
FNR,0.00118,0.00307
FOR,0.00117,0.00309
FP,21,8
FPR,0.00307,0.00118
G,0.99786,0.99788
GI,0.99575,0.99575
GM,0.99788,0.99788
IBA,0.99763,0.99388
ICSI,0.99573,0.99576
IS,1.00349,0.99039
J,0.99573,0.99577
LS,2.00485,1.98672
MCC,0.99574,0.99574
MCCI,Very Strong,Very Strong
MCEN,0.03722,0.03694
MK,0.99574,0.99574
N,6850,6775
NLR,0.00118,0.00307
NLRI,Good,Good
NPV,0.99883,0.99691
OC,0.99882,0.99883
OOC,0.99786,0.99788
OP,0.99693,0.99693
P,6775,6850
PLR,325.80531,844.27874
PLRI,Good,Good
POP,13625,13625
PPV,0.99691,0.99883
PRE,0.49725,0.50275
Q,0.99999,0.99999
QI,Strong,Strong
RACC,0.24773,0.25228
RACCU,0.24773,0.25228
TN,6829,6767
TNR,0.99693,0.99882
TON,6837,6788
TOP,6788,6837
TP,6767,6829
TPR,0.99882,0.99693
Y,0.99575,0.99575
dInd,0.00329,0.00329
sInd,0.99768,0.99768
