Class,"Normal","Suspeito"
ACC,0.99665,0.99665
AGF,0.99565,0.99765
AGM,0.99721,0.99609
AM,-2,2
AUC,0.99665,0.99665
AUCI,Excellent,Excellent
AUPR,0.99664,0.99666
BCD,0.00084,0.00084
BM,0.99329,0.99329
CEN,0.03035,0.03018
DOR,118007.0,118007.0
DP,2.79629,2.79629
DPI,Fair,Fair
ERR,0.00335,0.00335
F0.5,0.99764,0.99566
F1,0.99664,0.99666
F2,0.99563,0.99766
FDR,0.00168,0.005
FN,3,1
FNR,0.00503,0.00167
FOR,0.005,0.00168
FP,1,3
FPR,0.00167,0.00503
G,0.99664,0.99666
GI,0.99329,0.99329
GM,0.99665,0.99665
IBA,0.98996,0.99664
ICSI,0.99328,0.99333
IS,0.99999,0.99035
J,0.9933,0.99334
LS,1.99998,1.98667
MCC,0.99331,0.99331
MCCI,Very Strong,Very Strong
MCEN,0.05382,0.05353
MK,0.99332,0.99332
N,598,596
NLR,0.00504,0.00168
NLRI,Good,Good
NPV,0.995,0.99832
OC,0.99832,0.99833
OOC,0.99664,0.99666
OP,0.99496,0.99496
P,596,598
PLR,594.98993,198.33445
PLRI,Good,Good
POP,1194,1194
PPV,0.99832,0.995
PRE,0.49916,0.50084
Q,0.99998,0.99998
QI,Strong,Strong
RACC,0.24833,0.25168
RACCU,0.24833,0.25168
TN,597,593
TNR,0.99833,0.99497
TON,600,594
TOP,594,600
TP,593,597
TPR,0.99497,0.99833
Y,0.99329,0.99329
dInd,0.0053,0.0053
sInd,0.99625,0.99625
