Class,"Normal","Suspeito"
ACC,0.99725,0.99725
AGF,0.99808,0.99643
AGM,0.9968,0.99771
AM,2,-2
AUC,0.99726,0.99726
AUCI,Excellent,Excellent
AUPR,0.99726,0.99725
BCD,0.00069,0.00069
BM,0.99451,0.99451
CEN,0.02557,0.0256
DOR,175934.0,175934.0
DP,2.89191,2.89191
DPI,Fair,Fair
ERR,0.00275,0.00275
F0.5,0.99644,0.99808
F1,0.99726,0.99725
F2,0.99808,0.99643
FDR,0.00411,0.00138
FN,1,3
FNR,0.00137,0.00412
FOR,0.00138,0.00411
FP,3,1
FPR,0.00412,0.00137
G,0.99726,0.99725
GI,0.99451,0.99451
GM,0.99725,0.99725
IBA,0.99724,0.99179
ICSI,0.99452,0.99451
IS,0.99505,0.99702
J,0.99453,0.99452
LS,1.99315,1.99588
MCC,0.99451,0.99451
MCCI,Very Strong,Very Strong
MCEN,0.04555,0.04561
MK,0.99451,0.99451
N,729,728
NLR,0.00138,0.00412
NLRI,Good,Good
NPV,0.99862,0.99589
OC,0.99863,0.99862
OOC,0.99726,0.99725
OP,0.99588,0.99588
P,728,729
PLR,242.66621,725.00412
PLRI,Good,Good
POP,1457,1457
PPV,0.99589,0.99862
PRE,0.49966,0.50034
Q,0.99999,0.99999
QI,Strong,Strong
RACC,0.25034,0.24966
RACCU,0.25034,0.24966
TN,726,727
TNR,0.99588,0.99863
TON,727,730
TOP,730,727
TP,727,726
TPR,0.99863,0.99588
Y,0.99451,0.99451
dInd,0.00434,0.00434
sInd,0.99693,0.99693
