Class,"Normal","Suspeito"
ACC,0.99813,0.99813
AGF,0.99829,0.99797
AGM,0.99803,0.99822
AM,3,-3
AUC,0.99813,0.99813
AUCI,Excellent,Excellent
AUPR,0.99814,0.99811
BCD,0.00013,0.00013
BM,0.99625,0.99625
CEN,0.01867,0.01895
DOR,290193.05556,290193.05556
DP,3.01174,3.01174
DPI,Good,Good
ERR,0.00187,0.00187
F0.5,0.99799,0.99827
F1,0.99814,0.99811
F2,0.9983,0.99795
FDR,0.00212,0.00162
FN,9,12
FNR,0.00159,0.00216
FOR,0.00162,0.00212
FP,12,9
FPR,0.00216,0.00159
G,0.99814,0.99811
GI,0.99625,0.99625
GM,0.99813,0.99813
IBA,0.99682,0.99569
ICSI,0.99629,0.99622
IS,0.9849,1.0098
J,0.99629,0.99623
LS,1.97917,2.01364
MCC,0.99626,0.99626
MCCI,Very Strong,Very Strong
MCEN,0.03357,0.03406
MK,0.99626,0.99626
N,5562,5656
NLR,0.00159,0.00216
NLRI,Good,Good
NPV,0.99838,0.99788
OC,0.99841,0.99838
OOC,0.99814,0.99811
OP,0.99784,0.99784
P,5656,5562
PLR,462.76246,627.08858
PLRI,Good,Good
POP,11218,11218
PPV,0.99788,0.99838
PRE,0.50419,0.49581
Q,0.99999,0.99999
QI,Strong,Strong
RACC,0.25434,0.2457
RACCU,0.25434,0.2457
TN,5550,5647
TNR,0.99784,0.99841
TON,5559,5659
TOP,5659,5559
TP,5647,5550
TPR,0.99841,0.99784
Y,0.99625,0.99625
dInd,0.00268,0.00268
sInd,0.9981,0.9981
