Class,"Normal","Suspeito"
ACC,0.9975,0.9975
AGF,0.99772,0.99729
AGM,0.99739,0.99762
AM,4,-4
AUC,0.9975,0.9975
AUCI,Excellent,Excellent
AUPR,0.9975,0.99751
BCD,0.00018,0.00018
BM,0.99501,0.99501
CEN,0.02405,0.02403
DOR,163041.71354,163041.71354
DP,2.87369,2.87369
DPI,Fair,Fair
ERR,0.0025,0.0025
F0.5,0.99729,0.99772
F1,0.9975,0.99751
F2,0.99772,0.99729
FDR,0.00285,0.00214
FN,12,16
FNR,0.00214,0.00285
FOR,0.00214,0.00285
FP,16,12
FPR,0.00285,0.00214
G,0.9975,0.99751
GI,0.99501,0.99501
GM,0.9975,0.9975
IBA,0.99572,0.99431
ICSI,0.995,0.99501
IS,0.99742,0.99537
J,0.99502,0.99502
LS,1.99643,1.99359
MCC,0.99501,0.99501
MCCI,Very Strong,Very Strong
MCEN,0.04302,0.04297
MK,0.99501,0.99501
N,5615,5603
NLR,0.00215,0.00286
NLRI,Good,Good
NPV,0.99786,0.99715
OC,0.99786,0.99786
OOC,0.9975,0.99751
OP,0.99715,0.99715
P,5603,5615
PLR,350.18589,465.58618
PLRI,Good,Good
POP,11218,11218
PPV,0.99715,0.99786
PRE,0.49947,0.50053
Q,0.99999,0.99999
QI,Strong,Strong
RACC,0.24964,0.25036
RACCU,0.24964,0.25036
TN,5599,5591
TNR,0.99715,0.99786
TON,5611,5607
TOP,5607,5611
TP,5591,5599
TPR,0.99786,0.99715
Y,0.99501,0.99501
dInd,0.00356,0.00356
sInd,0.99748,0.99748
